"category","bucket","fullName","destPath","cloneUrl"
"android","noname","KingJem/android-capture-skill","C:\Users\lowcoware\Projects\konseputo\references\skill-harvest\mobile\android\noname\009_KingJem-android-capture-skill","https://github.com/KingJem/android-capture-skill.git"
"android","noname","dineshkumarappdeveloper/play-console-draft","C:\Users\lowcoware\Projects\konseputo\references\skill-harvest\mobile\android\noname\010_dineshkumarappdeveloper-play-console-draft","https://github.com/dineshkumarappdeveloper/play-console-draft.git"
"crossplatform","top-stars","HoangNguyen0403/agent-skills-standard","C:\Users\lowcoware\Projects\konseputo\references\skill-harvest\mobile\crossplatform\top-stars\001_HoangNguyen0403-agent-skills-standard","https://github.com/HoangNguyen0403/agent-skills-standard.git"
"crossplatform","top-stars","greenstevester/fastlane-skill","C:\Users\lowcoware\Projects\konseputo\references\skill-harvest\mobile\crossplatform\top-stars\002_greenstevester-fastlane-skill","https://github.com/greenstevester/fastlane-skill.git"
"crossplatform","top-stars","anasfik/FlutterGuard","C:\Users\lowcoware\Projects\konseputo\references\skill-harvest\mobile\crossplatform\top-stars\003_anasfik-FlutterGuard","https://github.com/anasfik/FlutterGuard.git"
"crossplatform","top-stars","KhalidWar/flutter_cursor_rules","C:\Users\lowcoware\Projects\konseputo\references\skill-harvest\mobile\crossplatform\top-stars\004_KhalidWar-flutter_cursor_rules","https://github.com/KhalidWar/flutter_cursor_rules.git"
"crossplatform","top-stars","dkpoulsen/flutter-tools","C:\Users\lowcoware\Projects\konseputo\references\skill-harvest\mobile\crossplatform\top-stars\005_dkpoulsen-flutter-tools","https://github.com/dkpoulsen/flutter-tools.git"
"crossplatform","top-stars","MoritzMessner/flutter-cursor-rules","C:\Users\lowcoware\Projects\konseputo\references\skill-harvest\mobile\crossplatform\top-stars\006_MoritzMessner-flutter-cursor-rules","https://github.com/MoritzMessner/flutter-cursor-rules.git"
"crossplatform","top-stars","ricardocaste/flutter-cursor-rules","C:\Users\lowcoware\Projects\konseputo\references\skill-harvest\mobile\crossplatform\top-stars\007_ricardocaste-flutter-cursor-rules","https://github.com/ricardocaste/flutter-cursor-rules.git"
"crossplatform","top-stars","app-appplayer/flutter_mcp_server","C:\Users\lowcoware\Projects\konseputo\references\skill-harvest\mobile\crossplatform\top-stars\008_app-appplayer-flutter_mcp_server","https://github.com/app-appplayer/flutter_mcp_server.git"
"crossplatform","top-stars","mahdi-salmanzade/expo56-skill","C:\Users\lowcoware\Projects\konseputo\references\skill-harvest\mobile\crossplatform\top-stars\009_mahdi-salmanzade-expo56-skill","https://github.com/mahdi-salmanzade/expo56-skill.git"
"crossplatform","top-stars","logesh-kumar/publish-mobile-app","C:\Users\lowcoware\Projects\konseputo\references\skill-harvest\mobile\crossplatform\top-stars\010_logesh-kumar-publish-mobile-app","https://github.com/logesh-kumar/publish-mobile-app.git"
